1,Сиена , Фиорентина ,0,0
1,Кальяри , Милан ,0,2
1,Удинезе , Ювентус ,0,0
1,Аталанта , Чезена ,4,1
1,Болонья , Рома ,0,2
1,Интер , Лечче ,4,1
1,Лацио , Кьево ,0,0
1,Наполи , Дженоа ,6,1
1,Новара , Палермо ,2,2
1,Парма , Катания ,3,3
2,Милан , Лацио ,2,2
2,Чезена , Наполи ,1,3
2,Ювентус , Парма ,4,1
2,Катания , Сиена ,0,0
2,Кьево , Новара ,2,2
2,Фиорентина , Болонья ,2,0
2,Дженоа , Аталанта ,2,2
2,Лечче , Удинезе ,0,2
2,Рома , Кальяри ,1,2
2,Палермо , Интер ,4,3
3,Кальяри , Новара ,2,1
3,Интер , Рома ,0,0
3,Аталанта , Палермо ,1,0
3,Болонья , Лечче ,0,2
3,Катания , Чезена ,1,0
3,Лацио , Дженоа ,1,2
3,Парма , Кьево ,2,1
3,Сиена , Ювентус ,0,1
3,Удинезе , Фиорентина ,2,0
3,Наполи , Милан ,3,1
4,Новара , Интер ,3,1
4,Чезена , Лацио ,1,2
4,Кьево , Наполи ,1,0
4,Фиорентина , Парма ,3,0
4,Дженоа , Катания ,3,0
4,Ювентус , Болонья ,1,1
4,Лечче , Аталанта ,1,2
4,Милан , Удинезе ,1,1
4,Палермо , Кальяри ,3,2
4,Рома , Сиена ,1,1
5,Болонья , Интер ,1,3
5,Милан , Чезена ,1,0
5,Наполи , Фиорентина ,0,0
5,Кьево , Дженоа ,2,1
5,Аталанта , Новара ,2,1
5,Кальяри , Удинезе ,0,0
5,Катания , Ювентус ,1,1
5,Лацио , Палермо ,0,0
5,Сиена , Лечче ,3,0
5,Парма , Рома ,0,1
6,Рома , Аталанта ,3,1
6,Интер , Наполи ,0,3
6,Новара , Катания ,3,3
6,Чезена , Кьево ,0,0
6,Фиорентина , Лацио ,1,2
6,Лечче , Кальяри ,0,2
6,Палермо , Сиена ,2,0
6,Парма , Дженоа ,3,1
6,Удинезе , Болонья ,2,0
6,Ювентус , Милан ,2,0
7,Катания , Интер ,2,1
7,Милан , Палермо ,3,0
7,Наполи , Парма ,1,2
7,Чезена , Фиорентина ,0,0
7,Аталанта , Удинезе ,0,0
7,Кальяри , Сиена ,0,0
7,Кьево , Ювентус ,0,0
7,Дженоа , Лечче ,0,0
7,Новара , Болонья ,0,2
7,Лацио , Рома ,2,1
8,Фиорентина , Катания ,2,2
8,Ювентус , Дженоа ,2,2
8,Лечче , Милан ,3,4
8,Кальяри , Наполи ,0,0
8,Интер , Кьево ,1,0
8,Парма , Аталанта ,1,2
8,Рома , Палермо ,1,0
8,Сиена , Чезена ,2,0
8,Удинезе , Новара ,3,0
8,Болонья , Лацио ,0,2
9,Ювентус , Фиорентина ,2,1
9,Аталанта , Интер ,1,1
9,Чезена , Кальяри ,1,1
9,Кьево , Болонья ,0,1
9,Дженоа , Рома ,2,1
9,Лацио , Катания ,1,1
9,Милан , Парма ,4,1
9,Наполи , Удинезе ,2,0
9,Новара , Сиена ,1,1
9,Палермо , Лечче ,2,0
10,Катания , Наполи ,2,1
10,Рома , Милан ,2,3
10,Интер , Ювентус ,1,2
10,Сиена , Кьево ,4,1
10,Болонья , Аталанта ,3,1
10,Фиорентина , Дженоа ,1,0
10,Лечче , Новара ,1,1
10,Парма , Чезена ,2,0
10,Удинезе , Палермо ,1,0
10,Кальяри , Лацио ,0,3
11,Палермо , Болонья ,3,1
11,Новара , Рома ,0,2
11,Аталанта , Кальяри ,1,0
11,Чезена , Лечче ,0,1
11,Кьево , Фиорентина ,1,0
11,Лацио , Парма ,1,0
11,Милан , Катания ,4,0
11,Удинезе , Сиена ,2,1
11,Наполи , Ювентус ,3,3
11,Дженоа , Интер ,0,1
12,Интер , Кальяри ,2,1
12,Фиорентина , Милан ,0,0
12,Наполи , Лацио ,0,0
12,Болонья , Чезена ,0,1
12,Катания , Кьево ,1,2
12,Дженоа , Новара ,1,0
12,Ювентус , Палермо ,3,0
12,Парма , Удинезе ,2,0
12,Сиена , Аталанта ,2,2
12,Рома , Лечче ,2,1
13,Удинезе , Рома ,2,0
13,Лечче , Катания ,0,1
13,Новара , Парма ,2,1
13,Аталанта , Наполи ,1,1
13,Лацио , Ювентус ,0,1
13,Кальяри , Болонья ,1,1
13,Чезена , Дженоа ,2,0
13,Палермо , Фиорентина ,2,0
13,Сиена , Интер ,0,1
13,Милан , Кьево ,4,0
14,Дженоа , Милан ,0,2
14,Интер , Удинезе ,0,1
14,Наполи , Лечче ,4,2
14,Катания , Кальяри ,0,1
14,Болонья , Сиена ,1,0
14,Кьево , Аталанта ,0,0
14,Фиорентина , Рома ,3,0
14,Ювентус , Чезена ,2,0
14,Парма , Палермо ,0,0
14,Лацио , Новара ,3,0
15,Лечче , Лацио ,2,3
15,Сиена , Дженоа ,0,2
15,Интер , Фиорентина ,2,0
15,Палермо , Чезена ,0,1
15,Аталанта , Катания ,1,1
15,Болонья , Милан ,2,2
15,Кальяри , Парма ,0,0
15,Удинезе , Кьево ,2,1
15,Новара , Наполи ,1,1
15,Рома , Ювентус ,1,1
16,Кьево , Кальяри ,2,0
16,Фиорентина , Аталанта ,2,2
16,Милан , Сиена ,2,0
16,Катания , Палермо ,2,0
16,Чезена , Интер ,0,1
16,Дженоа , Болонья ,2,1
16,Ювентус , Новара ,2,0
16,Парма , Лечче ,3,3
16,Лацио , Удинезе ,2,2
16,Наполи , Рома ,1,3
17,Сиена , Лацио ,4,0
17,Интер , Парма ,5,0
17,Удинезе , Чезена ,4,1
17,Аталанта , Милан ,0,2
17,Болонья , Катания ,2,0
17,Кальяри , Дженоа ,3,0
17,Лечче , Ювентус ,0,1
17,Новара , Фиорентина ,0,3
17,Рома , Кьево ,2,0
17,Палермо , Наполи ,1,3
18,Лацио , Аталанта ,2,0
18,Чезена , Новара ,3,1
18,Кьево , Палермо ,1,0
18,Фиорентина , Лечче ,0,1
18,Дженоа , Удинезе ,3,2
18,Ювентус , Кальяри ,1,1
18,Парма , Сиена ,3,1
18,Милан , Интер ,0,1
18,Наполи , Болонья ,1,1
18,Катания , Рома ,1,1
19,Рома , Чезена ,5,1
19,Аталанта , Ювентус ,0,2
19,Болонья , Парма ,0,0
19,Лечче , Кьево ,2,2
19,Новара , Милан ,0,3
19,Палермо , Дженоа ,5,3
19,Сиена , Наполи ,1,1
19,Удинезе , Катания ,2,1
19,Кальяри , Фиорентина ,0,0
19,Интер , Лацио ,2,1
20,Катания , Парма ,1,1
20,Ювентус , Удинезе ,2,1
20,Фиорентина , Сиена ,2,1
20,Чезена , Аталанта ,0,1
20,Рома , Болонья ,1,1
20,Лечче , Интер ,1,0
20,Кьево , Лацио ,0,3
20,Дженоа , Наполи ,3,2
20,Палермо , Новара ,2,0
20,Милан , Кальяри ,3,0
21,Наполи , Чезена ,0,0
21,Удинезе , Лечче ,2,1
21,Лацио , Милан ,2,0
21,Интер , Палермо ,4,4
21,Кальяри , Рома ,4,2
21,Новара , Кьево ,1,2
21,Аталанта , Дженоа ,1,0
21,Парма , Ювентус ,0,0
21,Болонья , Фиорентина ,2,0
21,Сиена , Катания ,0,1
22,Дженоа , Лацио ,3,2
22,Палермо , Аталанта ,2,1
22,Лечче , Болонья ,0,0
22,Новара , Кальяри ,0,0
22,Рома , Интер ,4,0
22,Милан , Наполи ,0,0
22,Кьево , Парма ,1,2
22,Ювентус , Сиена ,0,0
22,Фиорентина , Удинезе ,3,2
22,Чезена , Катания ,0,0
23,Лацио , Чезена ,3,2
23,Удинезе , Милан ,1,2
23,Кальяри , Палермо ,2,1
23,Катания , Дженоа ,4,0
23,Аталанта , Лечче ,0,0
23,Интер , Новара ,0,1
23,Наполи , Кьево ,2,0
23,Сиена , Рома ,1,0
23,Парма , Фиорентина ,2,2
23,Болонья , Ювентус ,1,1
24,Интер , Болонья ,0,3
24,Фиорентина , Наполи ,0,3
24,Ювентус , Катания ,3,1
24,Лечче , Сиена ,4,1
24,Новара , Аталанта ,0,0
24,Дженоа , Кьево ,0,1
24,Чезена , Милан ,1,3
24,Рома , Парма ,1,0
24,Удинезе , Кальяри ,0,0
24,Палермо , Лацио ,5,1
25,Дженоа , Парма ,2,2
25,Милан , Ювентус ,1,1
25,Кьево , Чезена ,1,0
25,Кальяри , Лечче ,1,2
25,Катания , Новара ,3,1
25,Сиена , Палермо ,4,1
25,Аталанта , Рома ,4,1
25,Лацио , Фиорентина ,1,0
25,Наполи , Интер ,1,0
25,Болонья , Удинезе ,1,3
26,Палермо , Милан ,0,4
26,Ювентус , Кьево ,1,1
26,Парма , Наполи ,1,2
26,Удинезе , Аталанта ,0,0
26,Сиена , Кальяри ,3,0
26,Фиорентина , Чезена ,2,0
26,Лечче , Дженоа ,2,2
26,Рома , Лацио ,1,2
26,Болонья , Новара ,1,0
26,Интер , Катания ,2,2
27,Наполи , Кальяри ,6,3
27,Кьево , Интер ,0,2
27,Палермо , Рома ,0,1
27,Катания , Фиорентина ,1,0
27,Дженоа , Ювентус ,0,0
27,Милан , Лечче ,2,0
27,Аталанта , Парма ,1,1
27,Чезена , Сиена ,0,2
27,Лацио , Болонья ,1,3
27,Новара , Удинезе ,1,0
28,Парма , Милан ,0,2
28,Фиорентина , Ювентус ,0,5
28,Кальяри , Чезена ,3,0
28,Интер , Аталанта ,0,0
28,Болонья , Кьево ,2,2
28,Катания , Лацио ,1,0
28,Сиена , Новара ,0,2
28,Лечче , Палермо ,1,1
28,Удинезе , Наполи ,2,2
28,Рома , Дженоа ,1,0
29,Милан , Рома ,2,1
29,Палермо , Удинезе ,1,1
29,Аталанта , Болонья ,2,0
29,Лацио , Кальяри ,1,0
29,Наполи , Катания ,2,2
29,Дженоа , Фиорентина ,2,2
29,Новара , Лечче ,0,0
29,Чезена , Парма ,2,2
29,Кьево , Сиена ,1,1
29,Ювентус , Интер ,2,0
30,Катания , Милан ,1,1
30,Парма , Лацио ,3,1
30,Рома , Новара ,5,2
30,Кальяри , Аталанта ,2,0
30,Лечче , Чезена ,0,0
30,Фиорентина , Кьево ,1,2
30,Интер , Дженоа ,5,4
30,Болонья , Палермо ,1,3
30,Сиена , Удинезе ,1,0
30,Ювентус , Наполи ,3,0
31,Чезена , Болонья ,0,0
31,Кьево , Катания ,3,2
31,Милан , Фиорентина ,1,2
31,Новара , Дженоа ,1,1
31,Кальяри , Интер ,2,2
31,Удинезе , Парма ,3,1
31,Лечче , Рома ,4,2
31,Аталанта , Сиена ,1,2
31,Палермо , Ювентус ,0,2
31,Лацио , Наполи ,3,1
32,Кьево , Милан ,0,1
32,Наполи , Аталанта ,1,3
32,Дженоа , Чезена ,1,1
32,Ювентус , Лацио ,2,1
32,Катания , Лечче ,1,2
32,Парма , Новара ,2,0
32,Фиорентина , Палермо ,0,0
32,Интер , Сиена ,2,1
32,Рома , Удинезе ,3,1
32,Болонья , Кальяри ,1,0
33,Кальяри , Катания ,3,0
33,Аталанта , Кьево ,1,0
33,Новара , Лацио ,2,1
33,Сиена , Болонья ,1,1
33,Рома , Фиорентина ,1,2
33,Удинезе , Интер ,1,3
33,Лечче , Наполи ,0,2
33,Палермо , Парма ,1,2
33,Милан , Дженоа ,1,0
33,Чезена , Ювентус ,0,1
34,Парма , Кальяри ,3,0
34,Кьево , Удинезе ,0,0
34,Катания , Аталанта ,2,0
34,Наполи , Новара ,2,0
34,Фиорентина , Интер ,0,0
34,Милан , Болонья ,1,1
34,Лацио , Лечче ,1,1
34,Чезена , Палермо ,2,2
34,Дженоа , Сиена ,1,4
34,Ювентус , Рома ,4,0
35,Палермо , Катания ,1,1
35,Кальяри , Кьево ,0,0
35,Рома , Наполи ,2,2
35,Болонья , Дженоа ,3,2
35,Интер , Чезена ,2,1
35,Аталанта , Фиорентина ,2,0
35,Новара , Ювентус ,0,4
35,Сиена , Милан ,1,4
35,Лечче , Парма ,1,2
35,Удинезе , Лацио ,2,0
36,Кьево , Рома ,0,0
36,Наполи , Палермо ,2,0
36,Милан , Аталанта ,2,0
36,Катания , Болонья ,0,1
36,Дженоа , Кальяри ,2,1
36,Парма , Интер ,3,1
36,Ювентус , Лечче ,1,1
36,Фиорентина , Новара ,2,2
36,Лацио , Сиена ,1,1
36,Чезена , Удинезе ,0,1
37,Лечче , Фиорентина ,0,1
37,Рома , Катания ,2,2
37,Сиена , Парма ,0,2
37,Новара , Чезена ,3,0
37,Палермо , Кьево ,4,4
37,Удинезе , Дженоа ,2,0
37,Аталанта , Лацио ,0,2
37,Болонья , Наполи ,2,0
37,Кальяри , Ювентус ,0,2
37,Интер , Милан ,4,2
38,Ювентус , Аталанта ,3,1
38,Фиорентина , Кальяри ,0,0
38,Милан , Новара ,2,1
38,Парма , Болонья ,1,0
38,Чезена , Рома ,2,3
38,Лацио , Интер ,3,1
38,Кьево , Лечче ,1,0
38,Дженоа , Палермо ,2,0
38,Наполи , Сиена ,2,1
38,Катания , Удинезе ,0,2
