1,Лацио , Торино ,2,2
1,Ювентус , Ливорно ,5,1
1,Фиорентина , Эмполи ,3,1
1,Дженоа , Милан ,0,3
1,Интер , Удинезе ,1,1
1,Наполи , Кальяри ,0,2
1,Парма , Катания ,2,2
1,Реджина , Аталанта ,1,1
1,Сиена , Сампдория ,1,2
1,Палермо , Рома ,0,2
2,Эмполи , Интер ,0,2
2,Аталанта , Парма ,2,0
2,Кальяри , Ювентус ,2,3
2,Катания , Дженоа ,0,0
2,Ливорно , Палермо ,2,4
2,Рома , Сиена ,3,0
2,Торино , Реджина ,2,2
2,Удинезе , Наполи ,0,5
2,Сампдория , Лацио ,0,0
2,Милан , Фиорентина ,1,1
3,Сиена , Милан ,1,1
3,Лацио , Эмполи ,0,0
3,Фиорентина , Аталанта ,2,2
3,Дженоа , Ливорно ,1,1
3,Интер , Катания ,2,0
3,Ювентус , Удинезе ,0,1
3,Наполи , Сампдория ,2,0
3,Палермо , Торино ,1,1
3,Реджина , Рома ,0,2
3,Парма , Кальяри ,1,1
4,Удинезе , Реджина ,2,0
4,Милан , Парма ,1,1
4,Аталанта , Лацио ,2,1
4,Кальяри , Палермо ,0,1
4,Катания , Фиорентина ,0,1
4,Эмполи , Наполи ,0,0
4,Ливорно , Интер ,2,2
4,Рома , Ювентус ,2,2
4,Торино , Сиена ,1,1
4,Сампдория , Дженоа ,0,0
5,Катания , Эмполи ,1,0
5,Фиорентина , Рома ,2,2
5,Дженоа , Удинезе ,3,2
5,Интер , Сампдория ,3,0
5,Ювентус , Реджина ,4,0
5,Лацио , Кальяри ,3,1
5,Наполи , Ливорно ,1,0
5,Палермо , Милан ,2,1
5,Парма , Торино ,2,0
5,Сиена , Аталанта ,1,1
6,Рома , Интер ,1,4
6,Ливорно , Фиорентина ,0,3
6,Кальяри , Сиена ,1,0
6,Эмполи , Палермо ,3,1
6,Милан , Катания ,1,1
6,Наполи , Дженоа ,1,2
6,Реджина , Лацио ,1,1
6,Сампдория , Аталанта ,3,0
6,Удинезе , Парма ,2,1
6,Торино , Ювентус ,0,1
7,Аталанта , Удинезе ,0,0
7,Интер , Наполи ,2,1
7,Катания , Ливорно ,1,0
7,Фиорентина , Ювентус ,1,1
7,Дженоа , Кальяри ,2,0
7,Палермо , Реджина ,1,1
7,Парма , Рома ,0,3
7,Сиена , Эмполи ,3,0
